2002-1,1
2002-2,11 12 13
2002-3,1
2002-4,5
2002-5,5 19
2002-6,6
2002-7,17
2002-8,15
2002-9,20 21 22
2002-10,3
2002-12,25
2003-1,1 31
2003-2,1 2
2003-3,1
2003-4,5
2003-5,5 8
2003-6,6
2003-7,17
2003-8,15
2003-9,10 11 12
2003-10,3
2003-12,25
2004-1,1 21 22 23
2004-3,1
2004-4,5
2004-5,5 26
2004-6,6
2004-7,17
2004-8,15
2004-9,27 28 29
2004-10,3
2004-12,25
2005-1,1
2005-2,8 9 10
2005-3,1
2005-4,5
2005-5,5 15
2005-6,6
2005-7,17
2005-8,15
2005-9,17 18 19
2005-10,3
2005-12,25

2008-1,1
2008-2,6 7 8
2008-3,1
2008-5,5 12
2008-6,6
2008-8,15
2008-9,13 14 15
2008-10,3
2008-12,25
2009-1,1 25 26 27
2009-3,1
2009-5,2 5
2009-6,6
2009-8,15
2009-10,2 3 4
2009-12,25
2010-1,1
2010-2,13 14 15
2010-3,1
2010-5,5 21
2010-6,6
2010-8,15
2010-9,21 22 23
2010-10,3
2010-12,25
