2002-1,1 14
2002-2,11
2002-3,21
2002-4,29
2002-5,3 4 5 6
2002-7,20
2002-9,15 16 23
2002-10,14
2002-11,3 4 23
2002-12,23
2003-1,1 13
2003-2,11
2003-3,21
2003-4,29
2003-5,3 4 5
2003-7,21
2003-9,15 23
2003-10,13
2003-11,3 23 24
2003-12,23
2004-1,1 12
2004-2,11
2004-3,20
2004-4,29
2004-5,3 4 5
2004-7,19
2004-9,20 23
2004-10,11
2004-11,3 23
2004-12,23
2005-1,1 10
2005-2,11
2005-3,20 21
2005-4,29
2005-5,3 4 5
2005-7,18
2005-9,19 23
2005-10,10
2005-11,3 23
2005-12,23
2006-1,2 9
2006-2,11
2006-3,21
2006-4,29
2006-5,3 4 5
2006-7,17
2006-9,23
2006-10,9
2006-11,3 23
2006-12,23
2007-1,1 8
2007-2,12
2007-3,21
2007-4,30
2007-5,3 4 5
2007-7,16
2007-9,17 24
2007-10,8
2007-11,3 23
2007-12,24
2008-1,1 14
2008-2,11
2008-3,20
2008-4,29
2008-5,3 4 5 6
2008-7,21
2008-9,15 23
2008-10,13
2008-11,3 24
2008-12,23
2009-1,1 12
2009-2,11
2009-3,20
2009-4,29
2009-5,3 4 5 6
2009-7,20
2009-9,21 22 23
2009-10,12
2009-11,3 23
2009-12,23
2010-1,1 11
2010-2,11
2010-3,22
2010-4,29
2010-5,3 4 5
2010-7,19
2010-9,20 23
2010-10,11
2010-11,3 23
2010-12,23
